no,space_name,class,is_parking,matched_keywords,n_rows,area_sum_m2
90374,"다세대주택(2세대):111.98,주차장:27.36",비공조,Y,주차|주차장,1,139.3
90375,전기실/발전기실/펌프실/환기실,비공조,N,전기실|전기|발전|펌프|환기,1,249.4
90376,피트(계단실),비공조,N,계단|계단실,1,42.0
90377,"업무시설(오피스텔),고가수조,엘리베이터기계실",비공조,N,엘리베이터|기계실|기계|고가수조|수조,1,104.8
90378,"계단실,물탱크(건축면적1/8미만연면적제외)",비공조,N,계단|계단실|물탱|물탱크|탱크|연면적제외|면적제외,1,14.2
90379,"연립주택(2세대)186.25㎡,주차장(2대)32.45㎡",비공조,Y,주차|주차장,1,218.7
90380,"지하주차장(주:대피소6,263.78포함)",비공조,Y,주차|주차장|대피소,1,5486.2
90381,"기계실,고가수조,계단실(연면적제외)",비공조,N,계단|계단실|기계실|기계|고가수조|수조|연면적제외|면적제외,1,42.0
90382,"근린생활시설:60.84㎡,차고:55.58㎡",비공조,Y,차고,1,116.4
90383,"물탱크실,창고,계단",비공조,N,계단|물탱|물탱크|탱크,1,75.8
90384,"계단실,기계실,엘리베이터실",비공조,N,계단|계단실|엘리베이터|기계실|기계,1,21.6
90385,주차장(62.91)/다세대주택,비공조,Y,주차|주차장,1,129.0
90386,회의실및보일러실,비공조,N,보일러,1,98.2
90387,"제1종근.생(소매점:157.91m2),물탱크실:21.76m2",비공조,N,물탱|물탱크|탱크,1,179.7
90388,"주차장,도시형생활주택(원룸형)",비공조,Y,주차|주차장,1,180.9
90389,"주차장,계단실,도시형생활주택(원룸형)",비공조,Y,계단|계단실|주차|주차장,1,23.4
90390,"옥탑,도시형생활주택(원룸형)",비공조,N,옥탑,1,16.1
90391,주차장.지하주차장.지하주차장,비공조,Y,주차|주차장,1,6029.0
90392,"제2종근린생활시설(사무소-계단실,elev실)",비공조,N,계단|계단실|elev,1,18.0
90393,"공조실,계단실,방풍실,화장실,엘리베이터실",비공조,N,계단|계단실|엘리베이터|공조실|화장실|방풍,1,84.7
90394,"계단실11.25㎡,소매점53.76㎡",비공조,N,계단|계단실,1,65.0
90395,소매점(59.76m2)및계단실(15.36m2),비공조,N,계단|계단실,1,75.1
90396,"츨입구(엘리베이터,계단실)",비공조,N,계단|계단실|엘리베이터,1,248.5
90397,휴게음식점기계실,비공조,N,기계실|기계,1,428.4
90398,"계단실,경비실,홀",비공조,N,계단|계단실,1,50.5
90399,"교회(계단실,관리실,주차장)",비공조,Y,계단|계단실|주차|주차장,1,125.4
